words (23): 0 1 01 001 011 0001 0011 0111 00001 00011 00101 00111 01011 01111 000001 000011 000101 000111 001011 001101 001111 010111 011111
rule   k  w        Rmax  reject  cmis  m1mis  pinviol  minper(col-1)  diff1
  30   8  000011     16      []     0      0        0           None    1525
  30   8  000101     16      []     0      0        0           None    2176
  30   8  000111     16      []     0      0        0           None    2465
  30   8  001011     16      []     0      0        0           None    2653
  30   8  001101     16      []     0      0        0           None    2674
  30   8  001111     16      []     0      0        0           None    1327
  30   8  010111     16      []     0      0        0           None    1707
  30   8  011111     16      []     0      0        0           None    1327
  90   1  0          16      []     0      0        0           None      17
  90   1  1          16      []     0      0        0           None      26
  90   1  01         16      []     0      0        0           None    1362
  90   1  001        16      []     0      0        0           None    1933
  90   1  011        16      []     0      0        0           None    1933
  90   1  0001       16      []     0      0        0           None    3294
  90   1  0011       16      []     0      0        0           None     689
  90   1  0111       16      []     0      0        0           None    3303
  90   1  00001      16      []     0      0        0           None    2228
  90   1  00011      16      []     0      0        0           None    1644
  90   1  00101      16      []     0      0        0           None    2490
  90   1  00111      16      []     0      0        0           None    1644
  90   1  01011      16      []     0      0        0           None    2492
  90   1  01111      16      []     0      0        0           None    2234
  90   1  000001     16      []     0      0        0           None    2926
  90   1  000011     16      []     0      0        0           None     971
  90   1  000101     16      []     0      0        0           None    1925
  90   1  000111     16      []     0      0        0           None    2930
  90   1  001011     16      []     0      0        0           None    2148
  90   1  001101     16      []     0      0        0           None    2144
  90   1  001111     16      []     0      0        0           None     979
  90   1  010111     16      []     0      0        0           None    1941
  90   1  011111     16      []     0      0        0           None    2926
  90   2  0          16      []     0      0        0           None      16
  90   2  1          16      []     0      0        0           None      25
  90   2  01         16      []     0      0        0           None    1363
  90   2  001        16      []     0      0        0           None    1938
  90   2  011        16      []     0      0        0           None    1927
  90   2  0001       16      []     0      0        0           None    3309
  90   2  0011       16      []     0      0        0           None     690
  90   2  0111       16      []     0      0        0           None    3302
  90   2  00001      16      []     0      0        0           None    2235
  90   2  00011      16      []     0      0        0           None    1643
  90   2  00101      16      []     0      0        0           None    2486
  90   2  00111      16      []     0      0        0           None    1644
  90   2  01011      16      []     0      0        0           None    2489
  90   2  01111      16      []     0      0        0           None    2230
  90   2  000001     16      []     0      0        0           None    2927
  90   2  000011     16      []     0      0        0           None     973
  90   2  000101     16      []     0      0        0           None    1930
  90   2  000111     16      []     0      0        0           None    2926
  90   2  001011     16      []     0      0        0           None    2144
  90   2  001101     16      []     0      0        0           None    2145
  90   2  001111     16      []     0      0        0           None     981
  90   2  010111     16      []     0      0        0           None    1935
  90   2  011111     16      []     0      0        0           None    2930
  90   3  0          16      []     0      0        0           None      16
  90   3  1          16      []     0      0        0           None      25
  90   3  01         16      []     0      0        0           None    1363
  90   3  001        16      []     0      0        0           None    1933
  90   3  011        16      []     0      0        0           None    1933
  90   3  0001       16      []     0      0        0           None    3291
  90   3  0011       16      []     0      0        0           None     690
  90   3  0111       16      []     0      0        0           None    3300
  90   3  00001      16      []     0      0        0           None    2229
  90   3  00011      16      []     0      0        0           None    1642
  90   3  00101      16      []     0      0        0           None    2490
  90   3  00111      16      []     0      0        0           None    1645
  90   3  01011      16      []     0      0        0           None    2486
  90   3  01111      16      []     0      0        0           None    2225
  90   3  000001     16      []     0      0        0           None    2933
  90   3  000011     16      []     0      0        0           None     976
  90   3  000101     16      []     0      0        0           None    1936
  90   3  000111     16      []     0      0        0           None    2929
  90   3  001011     16      []     0      0        0           None    2144
  90   3  001101     16      []     0      0        0           None    2148
  90   3  001111     16      []     0      0        0           None     973
  90   3  010111     16      []     0      0        0           None    1930
  90   3  011111     16      []     0      0        0           None    2928
  90   4  0          16      []     0      0        0           None      16
  90   4  1          16      []     0      0        0           None      23
  90   4  01         16      []     0      0        0           None    1359
  90   4  001        16      []     0      0        0           None    1932
  90   4  011        16      []     0      0        0           None    1930
  90   4  0001       16      []     0      0        0           None    3309
  90   4  0011       16      []     0      0        0           None     688
  90   4  0111       16      []     0      0        0           None    3300
  90   4  00001      16      []     0      0        0           None    2231
  90   4  00011      16      []     0      0        0           None    1641
  90   4  00101      16      []     0      0        0           None    2482
  90   4  00111      16      []     0      0        0           None    1648
  90   4  01011      16      []     0      0        0           None    2492
  90   4  01111      16      []     0      0        0           None    2229
  90   4  000001     16      []     0      0        0           None    2919
  90   4  000011     16      []     0      0        0           None     970
  90   4  000101     16      []     0      0        0           None    1924
  90   4  000111     16      []     0      0        0           None    2925
  90   4  001011     16      []     0      0        0           None    2145
  90   4  001101     16      []     0      0        0           None    2139
  90   4  001111     16      []     0      0        0           None     978
  90   4  010111     16      []     0      0        0           None    1938
  90   4  011111     16      []     0      0        0           None    2921
  90   5  0          16      []     0      0        0           None      15
  90   5  1          16      []     0      0        0           None      24
  90   5  01         16      []     0      0        0           None    1360
  90   5  001        16      []     0      0        0           None    1935
  90   5  011        16      []     0      0        0           None    1926
  90   5  0001       16      []     0      0        0           None    3288
  90   5  0011       16      []     0      0        0           None     687
  90   5  0111       16      []     0      0        0           None    3297
  90   5  00001      16      []     0      0        0           None    2231
  90   5  00011      16      []     0      0        0           None    1645
  90   5  00101      16      []     0      0        0           None    2486
  90   5  00111      16      []     0      0        0           None    1640
  90   5  01011      16      []     0      0        0           None    2483
  90   5  01111      16      []     0      0        0           None    2224
  90   5  000001     16      []     0      0        0           None    2924
  90   5  000011     16      []     0      0        0           None     972
  90   5  000101     16      []     0      0        0           None    1929
  90   5  000111     16      []     0      0        0           None    2921
  90   5  001011     16      []     0      0        0           None    2139
  90   5  001101     16      []     0      0        0           None    2142
  90   5  001111     16      []     0      0        0           None     978
  90   5  010111     16      []     0      0        0           None    1932
  90   5  011111     16      []     0      0        0           None    2927
  90   6  0          16      []     0      0        0           None      14
  90   6  1          16      []     0      0        0           None      23
  90   6  01         16      []     0      0        0           None    1361
  90   6  001        16      []     0      0        0           None    1929
  90   6  011        16      []     0      0        0           None    1929
  90   6  0001       16      []     0      0        0           None    3303
  90   6  0011       16      []     0      0        0           None     688
  90   6  0111       16      []     0      0        0           None    3296
  90   6  00001      16      []     0      0        0           None    2223
  90   6  00011      16      []     0      0        0           None    1639
  90   6  00101      16      []     0      0        0           None    2483
  90   6  00111      16      []     0      0        0           None    1641
  90   6  01011      16      []     0      0        0           None    2485
  90   6  01111      16      []     0      0        0           None    2229
  90   6  000001     16      []     0      0        0           None    2931
  90   6  000011     16      []     0      0        0           None     972
  90   6  000101     16      []     0      0        0           None    1930
  90   6  000111     16      []     0      0        0           None    2927
  90   6  001011     16      []     0      0        0           None    2142
  90   6  001101     16      []     0      0        0           None    2146
  90   6  001111     16      []     0      0        0           None     971
  90   6  010111     16      []     0      0        0           None    1928
  90   6  011111     16      []     0      0        0           None    2924
  90   7  0          16      []     0      0        0           None      14
  90   7  1          16      []     0      0        0           None      23
  90   7  01         16      []     0      0        0           None    1361
  90   7  001        16      []     0      0        0           None    1926
  90   7  011        16      []     0      0        0           None    1924
  90   7  0001       16      []     0      0        0           None    3285
  90   7  0011       16      []     0      0        0           None     688
  90   7  0111       16      []     0      0        0           None    3294
  90   7  00001      16      []     0      0        0           None    2231
  90   7  00011      16      []     0      0        0           None    1639
  90   7  00101      16      []     0      0        0           None    2478
  90   7  00111      16      []     0      0        0           None    1640
  90   7  01011      16      []     0      0        0           None    2483
  90   7  01111      16      []     0      0        0           None    2228
  90   7  000001     16      []     0      0        0           None    2917
  90   7  000011     16      []     0      0        0           None     966
  90   7  000101     16      []     0      0        0           None    1918
  90   7  000111     16      []     0      0        0           None    2923
  90   7  001011     16      []     0      0        0           None    2145
  90   7  001101     16      []     0      0        0           None    2139
  90   7  001111     16      []     0      0        0           None     974
  90   7  010111     16      []     0      0        0           None    1932
  90   7  011111     16      []     0      0        0           None    2919
  90   8  0          16      []     0      0        0           None      14
  90   8  1          16      []     0      0        0           None      21
  90   8  01         16      []     0      0        0           None    1365
  90   8  001        16      []     0      0        0           None    1930
  90   8  011        16      []     0      0        0           None    1923
  90   8  0001       16      []     0      0        0           None    3295
  90   8  0011       16      []     0      0        0           None     690
  90   8  0111       16      []     0      0        0           None    3290
  90   8  00001      16      []     0      0        0           None    2221
  90   8  00011      16      []     0      0        0           None    1636
  90   8  00101      16      []     0      0        0           None    2480
  90   8  00111      16      []     0      0        0           None    1637
  90   8  01011      16      []     0      0        0           None    2476
  90   8  01111      16      []     0      0        0           None    2217
  90   8  000001     16      []     0      0        0           None    2917
  90   8  000011     16      []     0      0        0           None     971
  90   8  000101     16      []     0      0        0           None    1928
  90   8  000111     16      []     0      0        0           None    2916
  90   8  001011     16      []     0      0        0           None    2140
  90   8  001101     16      []     0      0        0           None    2141
  90   8  001111     16      []     0      0        0           None     973
  90   8  010111     16      []     0      0        0           None    1925
  90   8  011111     16      []     0      0        0           None    2922

cases: 368   failures: 0
