n=18 c=2 deepest=12 Q_n=D_0=39728 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  k=15  N=     4571 D=     162 pE_st= 0.531 pHC_st= 0.784 pboth_st= 0.432 maxfib=222
  k=16  N=     1767 D=      70 pE_st= 0.429 pHC_st= 0.843 pboth_st= 0.343 maxfib=222
  k=17  N=      535 D=      24 pE_st= 0.375 pHC_st= 0.792 pboth_st= 0.333 maxfib=80
  k=18  N=      197 D=       8 pE_st= 0.625 pHC_st= 0.875 pboth_st= 0.500 maxfib=52
  k=19  N=      133 D=       4 pE_st= 0.250 pHC_st= 0.750 pboth_st= 0.250 maxfib=52
  k=20  N=       32 D=       1 pE_st= 1.000 pHC_st= 1.000 pboth_st= 1.000 maxfib=32
  k=21  N=       32 D=       1 pE_st= 0.000 pHC_st= 1.000 pboth_st= 0.000 maxfib=32

pooled by offset k - deepest:  D  pE_states  pHC_states  pboth_states
  off=-15  N=  1109837 D=   39847 pE_st= 0.500 pHC_st= 0.810 pboth_st= 0.405
  off=-14  N=   451254 D=   16121 pE_st= 0.507 pHC_st= 0.807 pboth_st= 0.408
  off=-13  N=   742052 D=   29912 pE_st= 0.498 pHC_st= 0.811 pboth_st= 0.405
  off=-12  N=  1221996 D=   40823 pE_st= 0.501 pHC_st= 0.808 pboth_st= 0.406
  off=-11  N=  2891640 D=  101325 pE_st= 0.498 pHC_st= 0.807 pboth_st= 0.403
  off=-10  N=  2326409 D=   86141 pE_st= 0.501 pHC_st= 0.811 pboth_st= 0.406
  off=-9   N=  2394104 D=   90176 pE_st= 0.501 pHC_st= 0.807 pboth_st= 0.403
  off=-8   N=  1053053 D=   42283 pE_st= 0.498 pHC_st= 0.808 pboth_st= 0.402
  off=-7   N=   439749 D=   18027 pE_st= 0.500 pHC_st= 0.810 pboth_st= 0.406
  off=-6   N=   196879 D=    8805 pE_st= 0.495 pHC_st= 0.801 pboth_st= 0.397
  off=-5   N=    84415 D=    4347 pE_st= 0.505 pHC_st= 0.811 pboth_st= 0.407
  off=-4   N=    35455 D=    1771 pE_st= 0.517 pHC_st= 0.827 pboth_st= 0.427
  off=-3   N=    14037 D=     756 pE_st= 0.504 pHC_st= 0.807 pboth_st= 0.409
  off=-2   N=     5905 D=     309 pE_st= 0.495 pHC_st= 0.803 pboth_st= 0.405
  off=-1   N=     2750 D=     125 pE_st= 0.488 pHC_st= 0.824 pboth_st= 0.400
  off=0    N=     1225 D=      50 pE_st= 0.200 pHC_st= 0.580 pboth_st= 0.000
