cross-check OK against common/rule30.simulate_seed

=== w=16: 18 pairs with same centre trace (400 steps) and r differing on the zero set ===
  0b110101100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b110101100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1101100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1101100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11100110001 vs 0b1001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11100110001 vs 0b11001111001010001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b10001110110000001001 vs 0b11100110110011101001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11111110101100001001 vs 0b1000000100101101001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11111110101100001001 vs 0b11000000100101101001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1000000100101101001 vs 0b10011111101011101001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11000000100101101001 vs 0b10011111101011101001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1000101001010001001 vs 0b100010011111001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1000101001010001001 vs 0b10100010011111001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b1000101001010001001 vs 0b1100010011111001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
  0b11000101001010001001 vs 0b100010011111001001: agree to 400/400; centre traces first differ at t=400 (horizon 40000); r|Z disagreements in [0,400): 1, last at t=399; defect-identity violations: 0
